market,geometry,month,best_lambda,best_agreement,days
de,V1_window,1999-10,0.0,0.2857142857142857,21
de,V1_window,1999-11,0.0,1.0,22
de,V1_window,1999-12,0.0,1.0,21
de,V1_window,2000-01,0.0,1.0,21
de,V1_window,2000-02,0.0,1.0,21
de,V1_window,2000-03,5.0,1.0,23
de,V1_window,2000-04,35.0,1.0,18
de,V1_window,2000-05,150.0,1.0,22
de,V1_window,2000-06,150.0,1.0,22
de,V1_window,2000-07,150.0,1.0,21
de,V1_window,2000-08,150.0,1.0,23
de,V1_window,2000-09,150.0,0.9047619047619048,21
de,V1_window,2000-10,0.0,0.0,21
de,V1_window,2000-11,0.0,0.0,22
de,V1_window,2000-12,0.0,0.0,19
de,V1_window,2001-01,0.0,0.0,22
de,V1_window,2001-02,0.0,0.0,20
de,V1_window,2001-03,0.0,0.2727272727272727,22
de,V1_window,2001-04,0.0,1.0,19
de,V1_window,2001-05,0.0,0.8636363636363636,22
de,V1_window,2001-06,0.0,0.0,21
de,V1_window,2001-07,0.0,0.7727272727272727,22
de,V1_window,2001-08,0.0,1.0,23
de,V1_window,2001-09,0.0,1.0,20
de,V1_window,2001-10,0.0,1.0,23
de,V1_window,2001-11,0.0,1.0,22
de,V1_window,2001-12,0.0,1.0,17
de,V1_window,2002-01,5.0,1.0,22
de,V1_window,2002-02,0.0,1.0,20
de,V1_window,2002-03,15.0,1.0,20
de,V1_window,2002-04,0.0,0.23809523809523808,21
de,V1_window,2002-05,0.0,0.0,22
de,V1_window,2002-06,0.0,0.95,20
de,V1_window,2002-07,0.0,1.0,23
de,V1_window,2002-08,0.0,1.0,22
de,V1_window,2002-09,0.0,1.0,21
de,V1_window,2002-10,0.0,1.0,23
de,V1_window,2002-11,0.0,1.0,21
de,V1_window,2002-12,0.0,1.0,18
de,V1_window,2003-01,0.0,1.0,22
de,V1_window,2003-02,0.0,1.0,20
de,V1_window,2003-03,0.0,1.0,21
de,V1_window,2003-04,0.0,1.0,20
de,V1_window,2003-05,5.0,0.3333333333333333,21
de,V1_window,2003-06,0.0,0.8095238095238095,21
de,V1_window,2003-07,0.0,1.0,23
de,V1_window,2003-08,0.0,1.0,21
de,V1_window,2003-09,15.0,1.0,22
de,V1_window,2003-10,35.0,1.0,23
de,V1_window,2003-11,0.0,1.0,20
de,V1_window,2003-12,0.0,1.0,19
de,V1_window,2004-01,0.0,1.0,21
de,V1_window,2004-02,0.0,1.0,20
de,V1_window,2004-03,35.0,1.0,23
de,V1_window,2004-04,35.0,1.0,20
de,V1_window,2004-05,35.0,1.0,21
de,V1_window,2004-06,35.0,1.0,22
de,V1_window,2004-07,35.0,1.0,22
de,V1_window,2004-08,70.0,1.0,22
de,V1_window,2004-09,70.0,1.0,22
de,V1_window,2004-10,35.0,1.0,21
de,V1_window,2004-11,0.0,1.0,22
de,V1_window,2004-12,0.0,1.0,21
de,V1_window,2005-01,0.0,1.0,21
de,V1_window,2005-02,0.0,1.0,20
de,V1_window,2005-03,0.0,1.0,21
de,V1_window,2005-04,35.0,1.0,21
de,V1_window,2005-05,35.0,1.0,22
de,V1_window,2005-06,0.0,1.0,22
de,V1_window,2005-07,0.0,1.0,21
de,V1_window,2005-08,0.0,1.0,23
de,V1_window,2005-09,0.0,1.0,22
de,V1_window,2005-10,5.0,1.0,21
de,V1_window,2005-11,0.0,1.0,22
de,V1_window,2005-12,0.0,1.0,21
de,V1_window,2006-01,0.0,1.0,22
de,V1_window,2006-02,0.0,1.0,20
de,V1_window,2006-03,0.0,1.0,23
de,V1_window,2006-04,0.0,1.0,18
de,V1_window,2006-05,35.0,1.0,22
de,V1_window,2006-06,70.0,1.0,22
de,V1_window,2006-07,70.0,1.0,21
de,V1_window,2006-08,70.0,1.0,23
de,V1_window,2006-09,0.0,1.0,21
de,V1_window,2006-10,0.0,1.0,22
de,V1_window,2006-11,0.0,1.0,22
de,V1_window,2006-12,0.0,1.0,19
de,V1_window,2007-01,0.0,1.0,22
de,V1_window,2007-02,0.0,1.0,20
de,V1_window,2007-03,15.0,1.0,22
de,V1_window,2007-04,0.0,1.0,19
de,V1_window,2007-05,0.0,1.0,21
de,V1_window,2007-06,0.0,1.0,21
de,V1_window,2007-07,15.0,1.0,22
de,V1_window,2007-08,70.0,1.0,23
de,V1_window,2007-09,70.0,1.0,20
de,V1_window,2007-10,0.0,1.0,23
de,V1_window,2007-11,35.0,1.0,22
de,V1_window,2007-12,15.0,1.0,17
de,V1_window,2008-01,70.0,1.0,22
de,V1_window,2008-02,0.0,0.9523809523809523,21
de,V1_window,2008-03,0.0,1.0,19
de,V1_window,2008-04,0.0,0.9545454545454546,22
de,V1_window,2008-05,0.0,0.47619047619047616,21
de,V1_window,2008-06,0.0,0.0,21
de,V1_window,2008-07,0.0,0.34782608695652173,23
de,V1_window,2008-08,0.0,0.0,21
de,V1_window,2008-09,0.0,0.4090909090909091,22
de,V1_window,2008-10,0.0,1.0,23
de,V1_window,2008-11,0.0,1.0,20
de,V1_window,2008-12,0.0,1.0,19
de,V1_window,2009-01,0.0,1.0,21
de,V1_window,2009-02,0.0,1.0,20
de,V1_window,2009-03,0.0,1.0,22
de,V1_window,2009-04,0.0,0.35,20
de,V1_window,2009-05,0.0,0.85,20
de,V1_window,2009-06,5.0,0.5,22
de,V1_window,2009-07,0.0,0.5217391304347826,23
de,V1_window,2009-08,0.0,1.0,21
de,V1_window,2009-09,0.0,1.0,22
de,V1_window,2009-10,5.0,1.0,22
de,V1_window,2009-11,15.0,1.0,21
de,V1_window,2009-12,0.0,1.0,20
de,V1_window,2010-01,15.0,1.0,20
de,V1_window,2010-02,35.0,1.0,20
de,V1_window,2010-03,0.0,1.0,23
de,V1_window,2010-04,0.0,1.0,20
de,V1_window,2010-05,35.0,1.0,21
de,V1_window,2010-06,35.0,1.0,22
de,V1_window,2010-07,15.0,1.0,22
de,V1_window,2010-08,15.0,1.0,22
de,V1_window,2010-09,0.0,1.0,22
de,V1_window,2010-10,0.0,1.0,21
de,V1_window,2010-11,0.0,1.0,22
de,V1_window,2010-12,0.0,1.0,21
de,V1_window,2011-01,0.0,1.0,21
de,V1_window,2011-02,0.0,1.0,20
de,V1_window,2011-03,15.0,1.0,23
de,V1_window,2011-04,0.0,1.0,19
de,V1_window,2011-05,5.0,1.0,22
de,V1_window,2011-06,5.0,1.0,22
de,V1_window,2011-07,5.0,1.0,21
de,V1_window,2011-08,15.0,1.0,23
de,V1_window,2011-09,0.0,1.0,22
de,V1_window,2011-10,0.0,0.5714285714285714,21
de,V1_window,2011-11,0.0,0.22727272727272727,22
de,V1_window,2011-12,0.0,0.09523809523809523,21
de,V1_window,2012-01,0.0,1.0,22
de,V1_window,2012-02,0.0,1.0,21
de,V1_window,2012-03,0.0,1.0,22
de,V1_window,2012-04,15.0,1.0,19
de,V1_window,2012-05,35.0,1.0,22
de,V1_window,2012-06,70.0,0.9047619047619048,21
de,V1_window,2012-07,70.0,1.0,22
de,V1_window,2012-08,0.0,1.0,23
de,V1_window,2012-09,0.0,1.0,20
de,V1_window,2012-10,0.0,1.0,23
de,V1_window,2012-11,5.0,1.0,22
de,V1_window,2012-12,0.0,1.0,17
de,V1_window,2013-01,0.0,1.0,22
de,V1_window,2013-02,0.0,1.0,20
de,V1_window,2013-03,0.0,1.0,20
de,V1_window,2013-04,5.0,1.0,21
de,V1_window,2013-05,0.0,1.0,22
de,V1_window,2013-06,15.0,1.0,20
de,V1_window,2013-07,15.0,1.0,23
de,V1_window,2013-08,0.0,1.0,22
de,V1_window,2013-09,0.0,1.0,21
de,V1_window,2013-10,0.0,1.0,23
de,V1_window,2013-11,0.0,1.0,21
de,V1_window,2013-12,0.0,1.0,18
de,V1_window,2014-01,0.0,1.0,22
de,V1_window,2014-02,0.0,1.0,20
de,V1_window,2014-03,5.0,1.0,21
de,V1_window,2014-04,5.0,1.0,20
de,V1_window,2014-05,0.0,1.0,21
de,V1_window,2014-06,0.0,1.0,21
de,V1_window,2014-07,5.0,1.0,23
de,V1_window,2014-08,35.0,1.0,21
de,V1_window,2014-09,5.0,1.0,22
de,V1_window,2014-10,70.0,0.7727272727272727,22
de,V1_window,2014-11,70.0,1.0,20
de,V1_window,2014-12,5.0,1.0,19
de,V1_window,2015-01,15.0,1.0,21
de,V1_window,2015-02,0.0,1.0,20
de,V1_window,2015-03,0.0,1.0,22
de,V1_window,2015-04,5.0,1.0,20
de,V1_window,2015-05,5.0,1.0,19
de,V1_window,2015-06,15.0,1.0,22
de,V1_window,2015-07,15.0,0.9565217391304348,23
de,V1_window,2015-08,15.0,0.9047619047619048,21
de,V1_window,2015-09,0.0,1.0,22
de,V1_window,2015-10,0.0,0.5909090909090909,22
de,V1_window,2015-11,15.0,1.0,21
de,V1_window,2015-12,15.0,0.95,20
de,V1_window,2016-01,0.0,1.0,20
de,V1_window,2016-02,0.0,1.0,21
de,V1_window,2016-03,0.0,0.047619047619047616,21
de,V1_window,2016-04,0.0,0.5238095238095238,21
de,V1_window,2016-05,15.0,1.0,21
de,V1_window,2016-06,15.0,0.8636363636363636,22
de,V1_window,2016-07,0.0,0.5714285714285714,21
de,V1_window,2016-08,0.0,0.8695652173913043,23
de,V1_window,2016-09,5.0,1.0,22
de,V1_window,2016-10,5.0,1.0,20
de,V1_window,2016-11,5.0,1.0,22
de,V1_window,2016-12,0.0,1.0,21
de,V1_window,2017-01,0.0,1.0,22
de,V1_window,2017-02,0.0,1.0,20
de,V1_window,2017-03,0.0,1.0,23
de,V1_window,2017-04,0.0,1.0,18
de,V1_window,2017-05,0.0,1.0,22
de,V1_window,2017-06,0.0,1.0,21
de,V1_window,2017-07,15.0,1.0,21
de,V1_window,2017-08,15.0,1.0,23
de,V1_window,2017-09,15.0,1.0,21
de,V1_window,2017-10,0.0,1.0,20
de,V1_window,2017-11,0.0,1.0,22
de,V1_window,2017-12,0.0,1.0,19
de,V1_window,2018-01,0.0,1.0,22
de,V1_window,2018-02,70.0,1.0,20
de,V1_window,2018-03,70.0,1.0,21
de,V1_window,2018-04,150.0,1.0,20
de,V1_window,2018-05,15.0,1.0,21
de,V1_window,2018-06,15.0,1.0,21
de,V1_window,2018-07,15.0,1.0,22
de,V1_window,2018-08,15.0,1.0,23
de,V1_window,2018-09,35.0,1.0,20
de,V1_window,2018-10,70.0,1.0,22
de,V1_window,2018-11,150.0,1.0,22
de,V1_window,2018-12,150.0,1.0,17
de,V1_window,2019-01,150.0,1.0,22
de,V1_window,2019-02,150.0,1.0,20
de,V1_window,2019-03,5.0,1.0,21
de,V1_window,2019-04,0.0,1.0,20
de,V1_window,2019-05,5.0,1.0,22
de,V1_window,2019-06,5.0,1.0,19
de,V1_window,2019-07,5.0,1.0,23
de,V1_window,2019-08,70.0,1.0,22
de,V1_window,2019-09,70.0,1.0,21
de,V1_window,2019-10,5.0,1.0,22
de,V1_window,2019-11,0.0,1.0,21
de,V1_window,2019-12,0.0,1.0,18
de,V1_window,2020-01,5.0,1.0,22
de,V1_window,2020-02,35.0,1.0,20
de,V1_window,2020-03,0.0,1.0,22
de,V1_window,2020-04,0.0,1.0,20
de,V1_window,2020-05,0.0,0.8,20
de,V1_window,2020-06,5.0,0.8571428571428571,21
de,V1_window,2020-07,5.0,1.0,23
de,V1_window,2020-08,0.0,1.0,21
de,V1_window,2020-09,5.0,1.0,22
de,V1_window,2020-10,35.0,1.0,22
de,V1_window,2020-11,35.0,1.0,21
de,V1_window,2020-12,0.0,1.0,20
de,V1_window,2021-01,5.0,1.0,20
de,V1_window,2021-02,0.0,1.0,20
de,V1_window,2021-03,0.0,1.0,23
de,V1_window,2021-04,0.0,1.0,20
de,V1_window,2021-05,0.0,1.0,20
de,V1_window,2021-06,0.0,1.0,22
de,V1_window,2021-07,5.0,1.0,22
de,V1_window,2021-08,0.0,1.0,22
de,V1_window,2021-09,15.0,1.0,22
de,V1_window,2021-10,35.0,1.0,21
de,V1_window,2021-11,15.0,1.0,22
de,V1_window,2021-12,35.0,1.0,21
de,V1_window,2022-01,35.0,1.0,21
de,V1_window,2022-02,70.0,0.85,20
de,V1_window,2022-03,0.0,1.0,23
de,V1_window,2022-04,0.0,1.0,19
de,V1_window,2022-05,0.0,0.8636363636363636,22
de,V1_window,2022-06,0.0,0.6363636363636364,22
de,V1_window,2022-07,0.0,1.0,21
de,V1_window,2022-08,150.0,0.8260869565217391,23
de,V1_window,2022-09,0.0,1.0,22
de,V1_window,2022-10,0.0,0.9523809523809523,21
de,V1_window,2022-11,150.0,1.0,22
de,V1_window,2022-12,5.0,1.0,21
de,V1_window,2023-01,0.0,1.0,22
de,V1_window,2023-02,0.0,1.0,20
de,V1_window,2023-03,5.0,1.0,23
de,V1_window,2023-04,0.0,1.0,18
de,V1_window,2023-05,0.0,1.0,22
de,V1_window,2023-06,0.0,1.0,22
de,V1_window,2023-07,5.0,1.0,21
de,V1_window,2023-08,15.0,1.0,23
de,V1_window,2023-09,35.0,1.0,21
de,V1_window,2023-10,70.0,0.9090909090909091,22
de,V1_window,2023-11,150.0,0.9090909090909091,22
de,V1_window,2023-12,0.0,1.0,17
de,V3_frozen,1990-01,0.0,1.0,22
de,V3_frozen,1990-02,0.0,1.0,20
de,V3_frozen,1990-03,0.0,1.0,22
de,V3_frozen,1990-04,0.0,1.0,19
de,V3_frozen,1990-05,0.0,1.0,21
de,V3_frozen,1990-06,0.0,1.0,19
de,V3_frozen,1990-07,0.0,1.0,22
de,V3_frozen,1990-08,0.0,0.9565217391304348,23
de,V3_frozen,1990-09,0.0,1.0,20
de,V3_frozen,1990-10,5.0,1.0,22
de,V3_frozen,1990-11,150.0,0.9523809523809523,21
de,V3_frozen,1990-12,0.0,0.8823529411764706,17
de,V3_frozen,1991-01,0.0,0.9545454545454546,22
de,V3_frozen,1991-02,0.0,1.0,20
de,V3_frozen,1991-03,0.0,1.0,20
de,V3_frozen,1991-04,0.0,1.0,21
de,V3_frozen,1991-05,0.0,1.0,19
de,V3_frozen,1991-06,0.0,1.0,20
de,V3_frozen,1991-07,0.0,1.0,23
de,V3_frozen,1991-08,35.0,0.7727272727272727,22
de,V3_frozen,1991-09,0.0,0.42857142857142855,21
de,V3_frozen,1991-10,0.0,1.0,22
de,V3_frozen,1991-11,0.0,1.0,20
de,V3_frozen,1991-12,0.0,1.0,18
de,V3_frozen,1992-01,0.0,1.0,22
de,V3_frozen,1992-02,0.0,1.0,20
de,V3_frozen,1992-03,0.0,1.0,22
de,V3_frozen,1992-04,0.0,1.0,20
de,V3_frozen,1992-05,0.0,1.0,19
de,V3_frozen,1992-06,0.0,1.0,20
de,V3_frozen,1992-07,0.0,0.6521739130434783,23
de,V3_frozen,1992-08,0.0,0.23809523809523808,21
de,V3_frozen,1992-09,0.0,0.5454545454545454,22
de,V3_frozen,1992-10,5.0,0.8636363636363636,22
de,V3_frozen,1992-11,0.0,0.85,20
de,V3_frozen,1992-12,0.0,1.0,20
de,V3_frozen,1993-01,0.0,1.0,20
de,V3_frozen,1993-02,0.0,1.0,20
de,V3_frozen,1993-03,0.0,1.0,23
de,V3_frozen,1993-04,0.0,1.0,20
de,V3_frozen,1993-05,0.0,1.0,19
de,V3_frozen,1993-06,0.0,1.0,21
de,V3_frozen,1993-07,0.0,1.0,22
de,V3_frozen,1993-08,0.0,1.0,22
de,V3_frozen,1993-09,0.0,1.0,22
de,V3_frozen,1993-10,0.0,1.0,21
de,V3_frozen,1993-11,0.0,1.0,21
de,V3_frozen,1993-12,0.0,1.0,21
de,V3_frozen,1994-01,0.0,1.0,21
de,V3_frozen,1994-02,0.0,1.0,20
de,V3_frozen,1994-03,5.0,0.9565217391304348,23
de,V3_frozen,1994-04,0.0,1.0,19
de,V3_frozen,1994-05,0.0,1.0,20
de,V3_frozen,1994-06,0.0,0.8571428571428571,21
de,V3_frozen,1994-07,0.0,0.8571428571428571,21
de,V3_frozen,1994-08,0.0,1.0,23
de,V3_frozen,1994-09,0.0,0.9545454545454546,22
de,V3_frozen,1994-10,0.0,0.65,20
de,V3_frozen,1994-11,0.0,1.0,21
de,V3_frozen,1994-12,0.0,1.0,21
de,V3_frozen,1995-01,0.0,1.0,22
de,V3_frozen,1995-02,0.0,1.0,20
de,V3_frozen,1995-03,0.0,0.34782608695652173,23
de,V3_frozen,1995-04,0.0,0.9444444444444444,18
de,V3_frozen,1995-05,0.0,1.0,21
de,V3_frozen,1995-06,0.0,1.0,20
de,V3_frozen,1995-07,0.0,1.0,21
de,V3_frozen,1995-08,0.0,1.0,23
de,V3_frozen,1995-09,0.0,1.0,21
de,V3_frozen,1995-10,0.0,1.0,21
de,V3_frozen,1995-11,0.0,1.0,22
de,V3_frozen,1995-12,0.0,1.0,19
de,V3_frozen,1996-01,0.0,1.0,22
de,V3_frozen,1996-02,0.0,1.0,21
de,V3_frozen,1996-03,0.0,1.0,21
de,V3_frozen,1996-04,0.0,1.0,20
de,V3_frozen,1996-05,0.0,1.0,20
de,V3_frozen,1996-06,0.0,1.0,19
de,V3_frozen,1996-07,0.0,1.0,23
de,V3_frozen,1996-08,0.0,1.0,22
de,V3_frozen,1996-09,0.0,1.0,21
de,V3_frozen,1996-10,0.0,1.0,22
de,V3_frozen,1996-11,0.0,1.0,21
de,V3_frozen,1996-12,0.0,1.0,18
de,V3_frozen,1997-01,0.0,1.0,22
de,V3_frozen,1997-02,0.0,1.0,20
de,V3_frozen,1997-03,0.0,1.0,19
de,V3_frozen,1997-04,5.0,1.0,22
de,V3_frozen,1997-05,0.0,1.0,18
de,V3_frozen,1997-06,0.0,1.0,21
de,V3_frozen,1997-07,0.0,1.0,23
de,V3_frozen,1997-08,15.0,1.0,21
de,V3_frozen,1997-09,35.0,0.9090909090909091,22
de,V3_frozen,1997-10,0.0,0.9545454545454546,22
de,V3_frozen,1997-11,0.0,0.9,20
de,V3_frozen,1997-12,0.0,1.0,19
de,V3_frozen,1998-01,0.0,1.0,21
de,V3_frozen,1998-02,0.0,1.0,20
de,V3_frozen,1998-03,0.0,1.0,22
de,V3_frozen,1998-04,0.0,1.0,20
de,V3_frozen,1998-05,0.0,1.0,19
de,V3_frozen,1998-06,0.0,1.0,20
de,V3_frozen,1998-07,0.0,1.0,23
de,V3_frozen,1998-08,35.0,0.8571428571428571,21
de,V3_frozen,1998-09,0.0,1.0,22
de,V3_frozen,1998-10,0.0,1.0,22
de,V3_frozen,1998-11,0.0,0.3333333333333333,21
de,V3_frozen,1998-12,0.0,0.75,20
de,V3_frozen,1999-01,15.0,0.35,20
de,V3_frozen,1999-02,0.0,0.5,20
de,V3_frozen,1999-03,15.0,0.5652173913043478,23
de,V3_frozen,1999-04,0.0,1.0,20
de,V3_frozen,1999-05,0.0,1.0,19
de,V3_frozen,1999-06,0.0,1.0,21
de,V3_frozen,1999-07,5.0,1.0,22
de,V3_frozen,1999-08,15.0,1.0,22
de,V3_frozen,1999-09,0.0,1.0,22
de,V3_frozen,1999-10,0.0,1.0,21
de,V3_frozen,1999-11,0.0,1.0,22
de,V3_frozen,1999-12,0.0,1.0,21
de,V3_frozen,2000-01,5.0,1.0,21
de,V3_frozen,2000-02,5.0,1.0,21
de,V3_frozen,2000-03,35.0,1.0,23
de,V3_frozen,2000-04,70.0,1.0,18
de,V3_frozen,2000-05,150.0,1.0,22
de,V3_frozen,2000-06,150.0,1.0,22
de,V3_frozen,2000-07,150.0,1.0,21
de,V3_frozen,2000-08,0.0,1.0,23
de,V3_frozen,2000-09,15.0,1.0,21
de,V3_frozen,2000-10,35.0,1.0,21
de,V3_frozen,2000-11,35.0,1.0,22
de,V3_frozen,2000-12,150.0,1.0,19
de,V3_frozen,2001-01,150.0,1.0,22
de,V3_frozen,2001-02,35.0,1.0,20
de,V3_frozen,2001-03,150.0,0.7727272727272727,22
de,V3_frozen,2001-04,0.0,1.0,19
de,V3_frozen,2001-05,35.0,0.9545454545454546,22
de,V3_frozen,2001-06,5.0,1.0,21
de,V3_frozen,2001-07,0.0,0.8181818181818182,22
de,V3_frozen,2001-08,0.0,1.0,23
de,V3_frozen,2001-09,0.0,1.0,20
de,V3_frozen,2001-10,0.0,1.0,23
de,V3_frozen,2001-11,0.0,1.0,22
de,V3_frozen,2001-12,0.0,1.0,17
de,V3_frozen,2002-01,15.0,1.0,22
de,V3_frozen,2002-02,35.0,1.0,20
de,V3_frozen,2002-03,70.0,1.0,20
de,V3_frozen,2002-04,70.0,0.9047619047619048,21
de,V3_frozen,2002-05,15.0,1.0,22
de,V3_frozen,2002-06,150.0,1.0,20
de,V3_frozen,2002-07,0.0,1.0,23
de,V3_frozen,2002-08,0.0,1.0,22
de,V3_frozen,2002-09,0.0,1.0,21
de,V3_frozen,2002-10,0.0,1.0,23
de,V3_frozen,2002-11,0.0,1.0,21
de,V3_frozen,2002-12,0.0,1.0,18
de,V3_frozen,2003-01,0.0,1.0,22
de,V3_frozen,2003-02,0.0,1.0,20
de,V3_frozen,2003-03,0.0,1.0,21
de,V3_frozen,2003-04,0.0,1.0,20
de,V3_frozen,2003-05,5.0,0.3333333333333333,21
de,V3_frozen,2003-06,0.0,1.0,21
de,V3_frozen,2003-07,0.0,1.0,23
de,V3_frozen,2003-08,0.0,1.0,21
de,V3_frozen,2003-09,5.0,1.0,22
de,V3_frozen,2003-10,0.0,1.0,23
de,V3_frozen,2003-11,0.0,1.0,20
de,V3_frozen,2003-12,0.0,1.0,19
de,V3_frozen,2004-01,0.0,1.0,21
de,V3_frozen,2004-02,0.0,1.0,20
de,V3_frozen,2004-03,5.0,1.0,23
de,V3_frozen,2004-04,0.0,1.0,20
de,V3_frozen,2004-05,0.0,1.0,21
de,V3_frozen,2004-06,0.0,1.0,22
de,V3_frozen,2004-07,0.0,1.0,22
de,V3_frozen,2004-08,0.0,1.0,22
de,V3_frozen,2004-09,0.0,1.0,22
de,V3_frozen,2004-10,0.0,1.0,21
de,V3_frozen,2004-11,0.0,1.0,22
de,V3_frozen,2004-12,0.0,1.0,21
de,V3_frozen,2005-01,0.0,1.0,21
de,V3_frozen,2005-02,0.0,1.0,20
de,V3_frozen,2005-03,0.0,1.0,21
de,V3_frozen,2005-04,0.0,1.0,21
de,V3_frozen,2005-05,0.0,1.0,22
de,V3_frozen,2005-06,0.0,1.0,22
de,V3_frozen,2005-07,0.0,1.0,21
de,V3_frozen,2005-08,0.0,1.0,23
de,V3_frozen,2005-09,0.0,1.0,22
de,V3_frozen,2005-10,0.0,1.0,21
de,V3_frozen,2005-11,0.0,1.0,22
de,V3_frozen,2005-12,0.0,1.0,21
de,V3_frozen,2006-01,0.0,1.0,22
de,V3_frozen,2006-02,0.0,1.0,20
de,V3_frozen,2006-03,0.0,1.0,23
de,V3_frozen,2006-04,0.0,1.0,18
de,V3_frozen,2006-05,0.0,1.0,22
de,V3_frozen,2006-06,5.0,1.0,22
de,V3_frozen,2006-07,0.0,1.0,21
de,V3_frozen,2006-08,0.0,1.0,23
de,V3_frozen,2006-09,0.0,1.0,21
de,V3_frozen,2006-10,0.0,1.0,22
de,V3_frozen,2006-11,0.0,1.0,22
de,V3_frozen,2006-12,0.0,1.0,19
de,V3_frozen,2007-01,0.0,1.0,22
de,V3_frozen,2007-02,0.0,1.0,20
de,V3_frozen,2007-03,0.0,1.0,22
de,V3_frozen,2007-04,0.0,1.0,19
de,V3_frozen,2007-05,0.0,1.0,21
de,V3_frozen,2007-06,0.0,1.0,21
de,V3_frozen,2007-07,0.0,1.0,22
de,V3_frozen,2007-08,0.0,1.0,23
de,V3_frozen,2007-09,0.0,1.0,20
de,V3_frozen,2007-10,0.0,1.0,23
de,V3_frozen,2007-11,0.0,1.0,22
de,V3_frozen,2007-12,0.0,1.0,17
de,V3_frozen,2008-01,150.0,0.9090909090909091,22
de,V3_frozen,2008-02,0.0,0.9523809523809523,21
de,V3_frozen,2008-03,0.0,1.0,19
de,V3_frozen,2008-04,150.0,0.7727272727272727,22
de,V3_frozen,2008-05,0.0,1.0,21
de,V3_frozen,2008-06,0.0,1.0,21
de,V3_frozen,2008-07,0.0,0.8260869565217391,23
de,V3_frozen,2008-08,0.0,1.0,21
de,V3_frozen,2008-09,5.0,0.8181818181818182,22
de,V3_frozen,2008-10,0.0,1.0,23
de,V3_frozen,2008-11,0.0,1.0,20
de,V3_frozen,2008-12,0.0,1.0,19
de,V3_frozen,2009-01,0.0,1.0,21
de,V3_frozen,2009-02,5.0,1.0,20
de,V3_frozen,2009-03,5.0,1.0,22
de,V3_frozen,2009-04,0.0,0.8,20
de,V3_frozen,2009-05,0.0,1.0,20
de,V3_frozen,2009-06,0.0,1.0,22
de,V3_frozen,2009-07,15.0,1.0,23
de,V3_frozen,2009-08,0.0,1.0,21
de,V3_frozen,2009-09,0.0,1.0,22
de,V3_frozen,2009-10,0.0,1.0,22
de,V3_frozen,2009-11,0.0,1.0,21
de,V3_frozen,2009-12,0.0,1.0,20
de,V3_frozen,2010-01,0.0,1.0,20
de,V3_frozen,2010-02,0.0,1.0,20
de,V3_frozen,2010-03,0.0,1.0,23
de,V3_frozen,2010-04,0.0,1.0,20
de,V3_frozen,2010-05,5.0,1.0,21
de,V3_frozen,2010-06,0.0,1.0,22
de,V3_frozen,2010-07,0.0,1.0,22
de,V3_frozen,2010-08,0.0,1.0,22
de,V3_frozen,2010-09,0.0,1.0,22
de,V3_frozen,2010-10,0.0,1.0,21
de,V3_frozen,2010-11,0.0,1.0,22
de,V3_frozen,2010-12,0.0,1.0,21
de,V3_frozen,2011-01,0.0,1.0,21
de,V3_frozen,2011-02,0.0,1.0,20
de,V3_frozen,2011-03,0.0,1.0,23
de,V3_frozen,2011-04,0.0,1.0,19
de,V3_frozen,2011-05,0.0,1.0,22
de,V3_frozen,2011-06,0.0,1.0,22
de,V3_frozen,2011-07,0.0,1.0,21
de,V3_frozen,2011-08,0.0,0.9565217391304348,23
de,V3_frozen,2011-09,0.0,1.0,22
de,V3_frozen,2011-10,0.0,0.5714285714285714,21
de,V3_frozen,2011-11,0.0,0.2727272727272727,22
de,V3_frozen,2011-12,0.0,0.8571428571428571,21
de,V3_frozen,2012-01,0.0,1.0,22
de,V3_frozen,2012-02,0.0,1.0,21
de,V3_frozen,2012-03,0.0,1.0,22
de,V3_frozen,2012-04,0.0,1.0,19
de,V3_frozen,2012-05,0.0,1.0,22
de,V3_frozen,2012-06,0.0,1.0,21
de,V3_frozen,2012-07,0.0,1.0,22
de,V3_frozen,2012-08,0.0,1.0,23
de,V3_frozen,2012-09,0.0,1.0,20
de,V3_frozen,2012-10,0.0,1.0,23
de,V3_frozen,2012-11,0.0,1.0,22
de,V3_frozen,2012-12,0.0,1.0,17
de,V3_frozen,2013-01,0.0,1.0,22
de,V3_frozen,2013-02,0.0,1.0,20
de,V3_frozen,2013-03,0.0,1.0,20
de,V3_frozen,2013-04,0.0,1.0,21
de,V3_frozen,2013-05,0.0,1.0,22
de,V3_frozen,2013-06,0.0,1.0,20
de,V3_frozen,2013-07,0.0,1.0,23
de,V3_frozen,2013-08,0.0,1.0,22
de,V3_frozen,2013-09,0.0,1.0,21
de,V3_frozen,2013-10,0.0,1.0,23
de,V3_frozen,2013-11,0.0,1.0,21
de,V3_frozen,2013-12,0.0,1.0,18
de,V3_frozen,2014-01,0.0,1.0,22
de,V3_frozen,2014-02,0.0,1.0,20
de,V3_frozen,2014-03,0.0,1.0,21
de,V3_frozen,2014-04,0.0,1.0,20
de,V3_frozen,2014-05,0.0,1.0,21
de,V3_frozen,2014-06,0.0,1.0,21
de,V3_frozen,2014-07,0.0,1.0,23
de,V3_frozen,2014-08,0.0,1.0,21
de,V3_frozen,2014-09,0.0,1.0,22
de,V3_frozen,2014-10,0.0,0.8181818181818182,22
de,V3_frozen,2014-11,0.0,1.0,20
de,V3_frozen,2014-12,0.0,1.0,19
de,V3_frozen,2015-01,5.0,1.0,21
